LIBID,LIBNAME,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,HRS_OPEN,VISITS,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT
GA0056,LEE COUNTY PUBLIC LIBRARY,CO,MO,Y,CO1,32226,32226,1,3,2,10.4,12.4,810351,181413,0,111964,1103728,502050,164587,666637,61231,34510,21277,117018,333804,1117459,0,66694,13866,3544,21257,13226,0,8278,91494,14471,231059,94946,9678,221381,2,3,515,457,7,21494,19766,108,61,25752,37590,41978
GA0058,FORSYTH COUNTY PUBLIC LIBRARY,CO,MO,Y,CO1,237439,237439,1,3,24.63,64.55,89.18,6318629,521154,5395,313784,7158962,3686575,1368450,5055025,358043,393315,122083,873441,1061747,6990213,82100,338800,18846,17353,13268,21231,0,12675,733386,76460,2812746,1877736,228674,2584072,933,5123,2955,1656,309,127216,84002,5894,103,70695,233248,2006125
GA0060,HALL COUNTY LIBRARY SYSTEM,CO,MO,Y,CO1,207116,207116,1,4,7,39.75,46.75,2406097,426503,500,313746,3146846,1467295,677155,2144450,178537,60323,13356,252216,690097,3086763,0,246797,767,10403,20174,16760,0,11161,302917,35904,491179,244576,31698,459481,472,81,1584,1010,62,38802,33511,769,134,88391,36984,189281
GA0062,TWIN LAKES LIBRARY SYSTEM,CO,MO,Y,CO1,47285,47285,1,2,2,9.72,11.72,506769,167444,4325,101890,780428,362067,121375,483442,40192,5446,5612,51250,187215,721907,1114305,65684,13194,1137,21085,8657,208,4062,94877,15666,140860,64688,7708,133152,2,2,584,302,173,10475,6914,3234,50,18086,32234,54411
GA0063,COWETA COUNTY PUBLIC LIBRARY SYSTEM,CO,MO,Y,CO1,149702,149702,1,3,5,15,20,1999969,325345,0,0,2325314,1233799,521338,1755137,52545,37550,5816,95911,457443,2308491,0,185155,2457,7092,659,11998,0,10544,360588,85978,521704,261064,31465,490239,255,410,1062,820,86,25745,20381,1271,92,1305000,316685,3978490
GA0064,CATOOSA COUNTY LIBRARY,CO,SO,Y,CO1,68911,68911,1,0,1,10,11,535463,194557,0,44996,775016,344975,152342,497317,41035,1105,13918,56058,177830,731205,0,90481,12960,4540,20635,9450,0,2283,111685,17065,262552,120718,19484,243068,0,0,946,339,104,22078,11685,1135,41,40654,13163,22820
GA0065,WORTH COUNTY LIBRARY SYSTEM,MJ,SO,Y,CO1,21104,21104,1,0,1,3,4,165000,134349,0,43809,343158,-9,-9,-9,8390,1080,1778,11248,-9,317556,0,30608,12833,330,20635,4957,0,2364,86216,6431,49664,20425,2703,46961,0,3,165,148,0,8537,8037,0,27,9742,12749,-1
GA0066,GREATER CLARKS HILL REGIONAL LIBRARY,MJ,MO,Y,MC1,192599,192599,1,7,14,38,52,3099698,713573,0,92000,3905271,1706170,470086,2176256,302429,84525,0,386954,381535,2944745,0,251471,2987,5724,2100,34030,505,16241,435703,66835,696089,341108,69628,626461,115,33,1960,959,215,47605,34344,1804,142,62526,64656,32619
GA0067,MARSHES OF GLYNN LIBRARIES,CO,MO,Y,CO1,87023,87023,1,1,3,11,14,874105,244409,3769,108871,1231154,561429,226661,788090,114099,5885,15924,135908,183848,1107846,2942917,81679,12833,2846,20635,6521,0,3506,122321,22167,164816,45434,14335,150481,9,22,447,168,4,12264,6783,62,44,23983,18744,34760
GU0001,GUAM PUBLIC LIBRARY SYSTEM,CI,MO,Y,CI1,168678,168678,1,5,0,20,20,1217900,0,0,7728,1225628,621444,237476,858920,70315,13077,0,83392,75351,1017663,0,278963,0,295,0,1433,0,4011,100095,68298,33691,16947,0,33691,0,0,1431,888,35,14103,12867,47,732,10067,2438,83628
